"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3252","navigate to form page @smoke @regression","chromium","Tue Jun 10 20:53:15 IDT 2025","passed","Tue Jun 10 20:53:19 IDT 2025","","tests/usePageObjects.spec.ts","",""
"","3509","parametrized methods","chromium","Tue Jun 10 20:53:19 IDT 2025","passed","Tue Jun 10 20:53:22 IDT 2025","","tests/usePageObjects.spec.ts","",""
